,namaproduk,harga,penjual,kotatoko,terjual,rating
0,"[HARGA SPESIAL] Paket BM 3: 1 Seblak + 1 Cuankie + 1 Basreng Bebas Pilih Rasa | Original, Rendang, Kare, Ayam Bawang, Limau, Pedas",55000,Rasa Juara Indonesia,Kab. Bandung,40,5.0
1,Buku Komik Next G vol. 664: Tragedi Seblak | Muffin Graphics,34319,Mizanstore.id,Depok,50,4.8
2,"[HARGA SPESIAL] Paket BM 1: 2 Seblak + 1 Cuankie Juara Bebas Pilih Rasa | Original, Rendang, Kare, Ayam Bawang, Limau, Pedas",65000,Rasa Juara Indonesia,Kab. Bandung,70,4.8
3,"Rasa Juara Praktis 1 Pcs (Seblak, Cuankie, Batagor Kuah)",18000,Rasa Juara Indonesia,Kab. Bandung,250,4.7
4,"[HARGA SPESIAL] Paket BM 2: 2 Cuankie + 1 Seblak Juara Bebas Pilih Rasa | Original, Rendang, Kare, Ayam Bawang, Limau, Pedas",65000,Rasa Juara Indonesia,Kab. Bandung,60,4.3
5,SUBRON Panci Masak Paket 8IN1 14CM 17CM 6pcs Sendok Stainless Tebal Panas Merata Tahan Lama Murah Multifungsi Masak Seafood Mie Instan Saus Capcay Oatmeal Sarden Seblak Rebus,65000,SUBRON KITCHENWARE,Kab. Bandung,2,4.0
6,INDOMIE MIE KUAH INSTANT RASA SEBLAK HOT JELETOT 75 GR,3300,Hypermart Metropolis,Tangerang,19,5.0
7,INDOMIE MI INSTANT RASA SEBLAK HOT JELET,3410,Hypermart Bengkulu,Bengkulu,100,5.0
8,INDOMIE MI INSTANT RASA SEBLAK HOT JELETOT 75G,3200,Foodmart Basko Padang,Padang,100,5.0
9,Seblak Kuah Instan Ibro Bandung,28600,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250,5.0
10,CAP IBU Bumbu Seblak Bandung - Bumbu Masak Instan Premium,65000,Cap Ibu Shop,Jakarta Timur,250,5.0
11,Seblak Krupuk Kering (Sebring) Pedas 1 Kg (kukarasa snack),49999,KUKARASA SNACK,Kab. Tasikmalaya,13,5.0
